state,issuer_name,plan_marketing_name,plan_type,rating_area,premium_adult_individual_age_27,premium_adult_individual_age_50,premium_family_age_30,drug_deductable_individual_in_network,drug_deductable_individual_out_of_network,medical_deductable_family_in_network,medical_deductable_family_out_of_network,drug_deductable_family_out_of_network,medical_maximum_out_of_pocket_individual_in_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_individual_out_of_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_family_in_network,drug_maximum_out_of_pocket_family_in_network,medical_maximum_out_of_pocket_family_out_of_network,drug_maximum_out_of_pocket_family_out_of_network
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 48,246.7,420.42,833.31,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 49,246.7,420.42,833.31,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 57,246.7,420.42,833.31,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 50,253.85,432.6,857.46,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 17,254.34,433.44,859.12,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 64,254.34,433.44,859.12,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 6,265.94,453.22,898.31,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 35,266.18,453.63,899.11,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 40,267.18,455.32,902.5,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 56,267.18,455.32,902.5,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 5,267.91,456.57,904.96,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 30,267.91,456.57,904.96,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 26,270.13,460.36,912.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 28,270.13,460.36,912.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 51,270.13,460.36,912.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 52,270.13,460.36,912.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 53,281.48,479.7,950.8,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 42,282.72,481.81,954.98,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 59,282.72,481.81,954.98,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 43,289.37,493.15,977.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 44,289.37,493.15,977.48,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 34,297.76,507.44,1005.8,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 60,297.76,507.44,1005.8,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 7,188.65,321.49,637.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 25,188.65,321.49,637.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 27,188.65,321.49,637.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 38,196.1,334.19,662.4,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 5,196.1,334.19,662.4,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 9,196.1,334.19,662.4,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 8,198.33,337.99,669.92,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 10,198.33,337.99,669.92,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
