state,issuer_name,plan_marketing_name,plan_type,rating_area,premium_adult_individual_age_27,premium_adult_individual_age_50,premium_family_age_30,drug_deductable_individual_in_network,drug_deductable_individual_out_of_network,medical_deductable_family_in_network,medical_deductable_family_out_of_network,drug_deductable_family_out_of_network,medical_maximum_out_of_pocket_individual_in_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_individual_out_of_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_family_in_network,drug_maximum_out_of_pocket_family_in_network,medical_maximum_out_of_pocket_family_out_of_network,drug_maximum_out_of_pocket_family_out_of_network
FL,Cigna Health and Life Insurance Company,myCigna Health Savings 3400,PPO,Rating Area 48,246.7,420.42,833.31,3400,12500,6800,25000,0,6350,0,25000,0,12700,0,50000,0
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 7,188.65,321.49,637.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 22,200.47,341.64,677.16,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 22,206.69,352.23,698.14,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 4,208.42,355.19,704.02,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 4,214.88,366.2,725.83,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential 1406,EPO,Rating Area 9,221.73,377.87,748.96,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential Plus 1406P,EPO,Rating Area 9,228.6,389.58,772.18,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
SC,BlueChoice HealthPlan,MyChoice Advantage Silver 2501,EPO,Rating Area 27,232.65,396.48,644.91,2500,MAX,NULL,MAX,MAX,5650,0,MAX,MAX,NULL,0,0,MAX
SC,BlueChoice HealthPlan,MyChoice Advantage Silver 400,EPO,Rating Area 27,241.53,411.62,669.51,400,MAX,NULL,MAX,MAX,6350,0,MAX,MAX,NULL,0,0,MAX
WI,Arise Health Plan,Healthy1Engage,HMO,Rating Area 11,245.89,419.05,830.6,3000,MAX,6000,MAX,MAX,4000,0,MAX,MAX,8000,0,0,MAX
WI,Arise Health Plan,Healthy1Engage,POS,Rating Area 11,248.73,423.89,840.18,1500,1500,3000,3000,0,6350,0,11500,MAX,12700,0,3000,NULL
WI,"Gundersen Health Plan, Inc.",Silver HSA $3500 Ô–’ö’‚ 0%,POS,Rating Area 7,319.51,544.51,1079.26,3500,12500,7000,25000,0,3500,0,17500,MAX,7000,0,35000,NULL
